file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,113,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,21
style.css,114,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,21
style.css,115,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,34
style.css,116,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,20
style.css,117,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,118,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,119,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,13
style.css,120,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,47
style.css,121,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,122,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,123,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,9
style.css,124,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,12
style.css,125,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,58
style.css,126,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,44
style.css,127,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,15
style.css,128,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,129,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,0
style.css,130,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,0,17
style.css,131,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,12
style.css,132,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,54
style.css,133,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,58
style.css,134,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,55
style.css,135,css,9f50c678,sopannair,2025-10-17,20:19:59,-07:00,2025-10-17T20:19:59-07:00,1,30
style.css,136,css,88d23a6b,sopannair,2025-10-10,22:39:16,-07:00,2025-10-10T22:39:16-07:00,1,12
